bikeid,trip_season,duration_category,trip_year,trip_month,number_of_trips
15271,Summer,15 to 30 minutes,2018.0,4.0,1
15271,Summer,30 minutes to 1 hour,2018.0,4.0,2
15271,Summer,5 to 15 minutes,2018.0,4.0,7
15271,Summer,5 to 15 minutes,2018.0,5.0,4
15302,Summer,< 5 minutes,2018.0,10.0,58
15302,Summer,15 to 30 minutes,2018.0,10.0,7
15302,Summer,2 to 5 hours,2018.0,10.0,1
15302,Summer,30 minutes to 1 hour,2018.0,10.0,1
15302,Summer,5 to 15 minutes,2018.0,10.0,42
15302,Winter,< 5 minutes,2018.0,11.0,4
15302,Winter,15 to 30 minutes,2018.0,11.0,1
15302,Winter,5 to 15 minutes,2018.0,11.0,5
15320,Summer,< 5 minutes,2019.0,8.0,5
15320,Summer,15 to 30 minutes,2019.0,8.0,3
15320,Summer,15 to 30 minutes,2019.0,9.0,1
15320,Summer,30 minutes to 1 hour,2019.0,9.0,1
15320,Summer,5 to 15 minutes,2019.0,8.0,2
15320,Summer,5 to 15 minutes,2019.0,9.0,2
15331,Summer,< 5 minutes,2019.0,5.0,1
15331,Summer,5 to 15 minutes,2019.0,5.0,3
15385,Summer,30 minutes to 1 hour,2019.0,7.0,1
15385,Summer,5 to 15 minutes,2019.0,7.0,1
15444,Summer,< 5 minutes,2018.0,8.0,7
15444,Summer,1 to 2 hours,2018.0,8.0,1
15444,Summer,15 to 30 minutes,2018.0,8.0,1
15444,Summer,30 minutes to 1 hour,2018.0,8.0,1
15444,Summer,5 to 15 minutes,2018.0,8.0,5
15582,Summer,< 5 minutes,2018.0,6.0,1
15582,Summer,< 5 minutes,2018.0,7.0,1
15582,Summer,1 to 2 hours,2018.0,6.0,1
15582,Summer,15 to 30 minutes,2018.0,6.0,3
15582,Summer,15 to 30 minutes,2018.0,7.0,2
15582,Summer,30 minutes to 1 hour,2018.0,7.0,1
15582,Summer,5 to 15 minutes,2018.0,6.0,3
15670,Summer,< 5 minutes,2018.0,6.0,2
15670,Summer,15 to 30 minutes,2018.0,6.0,2
15670,Summer,5 to 15 minutes,2018.0,6.0,6
15854,Winter,< 5 minutes,2018.0,11.0,23
15854,Winter,15 to 30 minutes,2018.0,11.0,1
15854,Winter,30 minutes to 1 hour,2018.0,11.0,4
15854,Winter,5 to 15 minutes,2018.0,11.0,18
15947,Winter,< 5 minutes,2018.0,11.0,9
15947,Winter,< 5 minutes,2018.0,12.0,8
15947,Winter,5 to 15 minutes,2018.0,11.0,4
15947,Winter,5 to 15 minutes,2018.0,12.0,5
16032,Winter,5 to 15 minutes,2018.0,2.0,1
16218,Summer,5 to 15 minutes,2018.0,9.0,1
16296,Summer,< 5 minutes,2018.0,10.0,19
16296,Summer,15 to 30 minutes,2018.0,10.0,2
16296,Summer,5 to 15 minutes,2018.0,10.0,9
16326,Summer,< 5 minutes,2019.0,5.0,1
16326,Summer,5 to 15 minutes,2019.0,5.0,1
16436,Summer,< 5 minutes,2019.0,5.0,3
16436,Summer,1 to 2 hours,2019.0,5.0,1
16436,Summer,30 minutes to 1 hour,2019.0,5.0,1
16436,Summer,5 to 15 minutes,2019.0,5.0,5
16528,Summer,< 5 minutes,2018.0,7.0,8
16528,Summer,< 5 minutes,2018.0,8.0,2
16528,Summer,15 to 30 minutes,2018.0,7.0,5
16528,Summer,15 to 30 minutes,2018.0,8.0,1
16528,Summer,30 minutes to 1 hour,2018.0,7.0,1
16528,Summer,5 to 15 minutes,2018.0,7.0,7
16528,Summer,5 to 15 minutes,2018.0,8.0,15
16590,Summer,< 5 minutes,2018.0,9.0,2
16590,Summer,15 to 30 minutes,2018.0,9.0,4
16590,Summer,5 to 15 minutes,2018.0,9.0,5
16768,Summer,< 5 minutes,2018.0,9.0,1
16768,Summer,5 to 15 minutes,2018.0,9.0,3
16803,Summer,< 5 minutes,2018.0,8.0,10
16803,Summer,1 to 2 hours,2018.0,8.0,2
16803,Summer,15 to 30 minutes,2018.0,8.0,10
16803,Summer,30 minutes to 1 hour,2018.0,8.0,1
16803,Summer,5 to 15 minutes,2018.0,8.0,17
16824,Summer,< 5 minutes,2019.0,6.0,6
16824,Summer,1 to 2 hours,2019.0,6.0,1
16824,Summer,15 to 30 minutes,2019.0,6.0,3
16824,Summer,30 minutes to 1 hour,2019.0,6.0,1
16824,Summer,5 to 15 minutes,2019.0,6.0,12
17004,Summer,< 5 minutes,2018.0,5.0,1
17260,Winter,< 5 minutes,2018.0,12.0,2
17260,Winter,5 to 15 minutes,2018.0,12.0,4
17285,Summer,< 5 minutes,2018.0,6.0,6
17285,Summer,15 to 30 minutes,2018.0,6.0,2
17285,Summer,5 to 15 minutes,2018.0,6.0,5
17348,Winter,< 5 minutes,2018.0,12.0,1
17348,Winter,5 to 15 minutes,2018.0,12.0,1
17432,Winter,< 5 minutes,2019.0,1.0,4
17432,Winter,5 to 15 minutes,2019.0,1.0,2
17685,Summer,< 5 minutes,2018.0,5.0,8
17685,Summer,15 to 30 minutes,2018.0,5.0,2
17685,Summer,30 minutes to 1 hour,2018.0,5.0,1
17685,Summer,5 to 15 minutes,2018.0,5.0,6
17976,Summer,< 5 minutes,2019.0,6.0,2
17976,Summer,15 to 30 minutes,2019.0,6.0,2
17976,Summer,5 to 15 minutes,2019.0,6.0,2
18232,Summer,< 5 minutes,2018.0,8.0,2
18232,Summer,15 to 30 minutes,2018.0,8.0,2
18232,Summer,30 minutes to 1 hour,2018.0,8.0,1
18232,Summer,5 to 15 minutes,2018.0,7.0,2
18232,Summer,5 to 15 minutes,2018.0,8.0,4
18249,Summer,< 5 minutes,2018.0,7.0,5
18249,Summer,15 to 30 minutes,2018.0,7.0,3
18249,Summer,30 minutes to 1 hour,2018.0,7.0,4
18249,Summer,5 to 15 minutes,2018.0,7.0,6
18251,Summer,< 5 minutes,2018.0,5.0,7
18251,Summer,1 to 2 hours,2018.0,5.0,1
18251,Summer,15 to 30 minutes,2018.0,5.0,1
18251,Summer,30 minutes to 1 hour,2018.0,5.0,1
18251,Summer,5 to 15 minutes,2018.0,5.0,6
18372,Summer,< 5 minutes,2018.0,9.0,11
18372,Summer,< 5 minutes,2018.0,10.0,4
18372,Summer,15 to 30 minutes,2018.0,9.0,3
18372,Summer,30 minutes to 1 hour,2018.0,10.0,1
18372,Summer,5 to 12 hours,2018.0,9.0,1
18372,Summer,5 to 15 minutes,2018.0,9.0,19
18372,Summer,5 to 15 minutes,2018.0,10.0,4
18372,Summer,overnight!,2018.0,9.0,1
18535,Summer,< 5 minutes,2018.0,5.0,3
18535,Summer,15 to 30 minutes,2018.0,5.0,1
18535,Summer,5 to 15 minutes,2018.0,5.0,1
18566,Summer,< 5 minutes,2019.0,6.0,14
18566,Summer,< 5 minutes,2019.0,7.0,1
18566,Summer,1 to 2 hours,2019.0,6.0,2
18566,Summer,15 to 30 minutes,2019.0,6.0,7
18566,Summer,30 minutes to 1 hour,2019.0,6.0,3
18566,Summer,5 to 15 minutes,2019.0,6.0,21
18566,Summer,5 to 15 minutes,2019.0,7.0,1
18570,Summer,15 to 30 minutes,2018.0,7.0,1
18570,Summer,30 minutes to 1 hour,2018.0,7.0,1
18682,Summer,< 5 minutes,2019.0,10.0,13
18682,Summer,5 to 15 minutes,2019.0,10.0,13
18729,Summer,< 5 minutes,2018.0,9.0,6
18729,Summer,< 5 minutes,2018.0,10.0,43
18729,Summer,1 to 2 hours,2018.0,10.0,2
18729,Summer,15 to 30 minutes,2018.0,9.0,1
18729,Summer,15 to 30 minutes,2018.0,10.0,6
18729,Summer,30 minutes to 1 hour,2018.0,10.0,2
18729,Summer,5 to 15 minutes,2018.0,9.0,10
18729,Summer,5 to 15 minutes,2018.0,10.0,39
18729,Winter,< 5 minutes,2018.0,11.0,15
18729,Winter,15 to 30 minutes,2018.0,11.0,1
18729,Winter,30 minutes to 1 hour,2018.0,11.0,1
18729,Winter,5 to 15 minutes,2018.0,11.0,17
18825,Summer,< 5 minutes,2018.0,8.0,5
18825,Summer,< 5 minutes,2019.0,5.0,2
18825,Summer,15 to 30 minutes,2018.0,8.0,1
18825,Summer,5 to 15 minutes,2018.0,8.0,13
18848,Summer,< 5 minutes,2019.0,7.0,1
18848,Summer,15 to 30 minutes,2019.0,7.0,1
18848,Summer,30 minutes to 1 hour,2019.0,7.0,1
18848,Summer,5 to 15 minutes,2019.0,7.0,2
18853,Summer,< 5 minutes,2019.0,6.0,2
18853,Summer,15 to 30 minutes,2019.0,6.0,1
18853,Summer,30 minutes to 1 hour,2019.0,6.0,1
18968,Summer,< 5 minutes,2018.0,10.0,5
18968,Summer,1 to 2 hours,2018.0,10.0,1
18968,Summer,15 to 30 minutes,2018.0,10.0,3
18968,Summer,30 minutes to 1 hour,2018.0,10.0,1
18968,Summer,5 to 15 minutes,2018.0,10.0,11
19151,Summer,< 5 minutes,2019.0,10.0,3
19151,Summer,30 minutes to 1 hour,2019.0,10.0,1
19151,Summer,5 to 15 minutes,2019.0,10.0,6
19239,Summer,< 5 minutes,2018.0,7.0,6
19239,Summer,15 to 30 minutes,2018.0,7.0,1
19239,Summer,5 to 15 minutes,2018.0,7.0,8
19366,Summer,1 to 2 hours,2018.0,7.0,1
19366,Summer,15 to 30 minutes,2018.0,7.0,2
19421,Winter,< 5 minutes,2018.0,1.0,2
19421,Winter,5 to 15 minutes,2018.0,1.0,1
19473,Summer,< 5 minutes,2018.0,7.0,4
19473,Summer,< 5 minutes,2018.0,9.0,26
19473,Summer,< 5 minutes,2018.0,10.0,4
19473,Summer,15 to 30 minutes,2018.0,9.0,1
19473,Summer,15 to 30 minutes,2018.0,10.0,1
19473,Summer,2 to 5 hours,2018.0,7.0,1
19473,Summer,30 minutes to 1 hour,2018.0,9.0,2
19473,Summer,30 minutes to 1 hour,2018.0,10.0,2
19473,Summer,5 to 15 minutes,2018.0,7.0,2
19473,Summer,5 to 15 minutes,2018.0,9.0,11
19473,Summer,5 to 15 minutes,2018.0,10.0,3
19572,Summer,< 5 minutes,2018.0,9.0,11
19572,Summer,15 to 30 minutes,2018.0,9.0,3
19572,Summer,5 to 15 minutes,2018.0,9.0,8
19572,Summer,overnight!,2018.0,9.0,1
19802,Winter,< 5 minutes,2018.0,2.0,11
19802,Winter,5 to 15 minutes,2018.0,2.0,7
19886,Summer,< 5 minutes,2018.0,7.0,3
19886,Summer,15 to 30 minutes,2018.0,7.0,2
19886,Summer,30 minutes to 1 hour,2018.0,6.0,1
19886,Summer,5 to 12 hours,2018.0,7.0,1
19886,Summer,5 to 15 minutes,2018.0,6.0,4
19886,Summer,5 to 15 minutes,2018.0,7.0,4
19886,Summer,overnight!,2018.0,7.0,1
19977,Summer,< 5 minutes,2019.0,6.0,6
19977,Summer,15 to 30 minutes,2019.0,6.0,7
19977,Summer,30 minutes to 1 hour,2019.0,6.0,2
19977,Summer,5 to 15 minutes,2019.0,6.0,7
19989,Summer,< 5 minutes,2019.0,5.0,2
19989,Summer,5 to 15 minutes,2019.0,5.0,2
20015,Winter,< 5 minutes,2019.0,11.0,4
20015,Winter,5 to 15 minutes,2019.0,11.0,1
20041,Summer,< 5 minutes,2019.0,6.0,7
20041,Summer,15 to 30 minutes,2019.0,6.0,2
20041,Summer,5 to 15 minutes,2019.0,6.0,6
20046,Summer,< 5 minutes,2018.0,5.0,4
20046,Summer,5 to 15 minutes,2018.0,5.0,1
20211,Summer,< 5 minutes,2019.0,7.0,17
20211,Summer,< 5 minutes,2019.0,8.0,22
20211,Summer,15 to 30 minutes,2019.0,7.0,6
20211,Summer,15 to 30 minutes,2019.0,8.0,7
20211,Summer,2 to 5 hours,2019.0,7.0,2
20211,Summer,30 minutes to 1 hour,2019.0,7.0,2
20211,Summer,30 minutes to 1 hour,2019.0,8.0,4
20211,Summer,5 to 12 hours,2019.0,8.0,1
20211,Summer,5 to 15 minutes,2019.0,7.0,29
20211,Summer,5 to 15 minutes,2019.0,8.0,23
20218,Summer,< 5 minutes,2019.0,6.0,8
20218,Summer,30 minutes to 1 hour,2019.0,6.0,1
20218,Summer,5 to 15 minutes,2019.0,6.0,9
20543,Summer,15 to 30 minutes,2019.0,4.0,1
20576,Summer,< 5 minutes,2019.0,7.0,2
20576,Summer,15 to 30 minutes,2019.0,7.0,1
20576,Summer,5 to 15 minutes,2019.0,7.0,2
20598,Summer,< 5 minutes,2019.0,7.0,10
20598,Summer,< 5 minutes,2019.0,8.0,6
20598,Summer,1 to 2 hours,2019.0,8.0,1
20598,Summer,15 to 30 minutes,2019.0,8.0,1
20598,Summer,2 to 5 hours,2019.0,8.0,1
20598,Summer,5 to 15 minutes,2019.0,7.0,9
20598,Summer,5 to 15 minutes,2019.0,8.0,6
20654,Summer,< 5 minutes,2018.0,8.0,1
20654,Summer,15 to 30 minutes,2018.0,8.0,2
20654,Summer,5 to 15 minutes,2018.0,8.0,2
20683,Winter,< 5 minutes,2019.0,3.0,10
20683,Winter,5 to 15 minutes,2019.0,3.0,4
20694,Summer,< 5 minutes,2018.0,7.0,18
20694,Summer,15 to 30 minutes,2018.0,7.0,1
20694,Summer,5 to 15 minutes,2018.0,7.0,11
20727,Summer,< 5 minutes,2018.0,8.0,17
20727,Summer,1 to 2 hours,2018.0,8.0,2
20727,Summer,15 to 30 minutes,2018.0,8.0,4
20727,Summer,30 minutes to 1 hour,2018.0,8.0,1
20727,Summer,5 to 12 hours,2018.0,8.0,1
20727,Summer,5 to 15 minutes,2018.0,8.0,19
20767,Summer,< 5 minutes,2019.0,10.0,16
20767,Summer,1 to 2 hours,2019.0,10.0,1
20767,Summer,5 to 15 minutes,2019.0,10.0,6
20783,Winter,< 5 minutes,2018.0,11.0,1
20783,Winter,< 5 minutes,2018.0,12.0,6
20783,Winter,15 to 30 minutes,2018.0,12.0,3
20783,Winter,30 minutes to 1 hour,2018.0,12.0,1
20783,Winter,5 to 15 minutes,2018.0,11.0,2
20783,Winter,5 to 15 minutes,2018.0,12.0,4
20941,Summer,< 5 minutes,2018.0,7.0,2
20941,Summer,1 to 2 hours,2018.0,7.0,1
20941,Summer,5 to 15 minutes,2018.0,7.0,5
20994,Summer,5 to 15 minutes,2019.0,9.0,2
21034,Summer,< 5 minutes,2019.0,8.0,16
21034,Summer,1 to 2 hours,2019.0,8.0,2
21034,Summer,15 to 30 minutes,2019.0,8.0,7
21034,Summer,30 minutes to 1 hour,2019.0,8.0,2
21034,Summer,5 to 15 minutes,2019.0,8.0,18
21078,Summer,overnight!,2019.0,6.0,1
21274,Summer,< 5 minutes,2019.0,6.0,15
21274,Summer,15 to 30 minutes,2019.0,6.0,4
21274,Summer,5 to 15 minutes,2019.0,6.0,14
21310,Summer,5 to 15 minutes,2018.0,6.0,1
21326,Summer,< 5 minutes,2018.0,9.0,12
21326,Summer,15 to 30 minutes,2018.0,9.0,1
21326,Summer,30 minutes to 1 hour,2018.0,9.0,1
21326,Summer,5 to 15 minutes,2018.0,9.0,12
21336,Summer,< 5 minutes,2019.0,9.0,1
21336,Summer,< 5 minutes,2019.0,10.0,6
21336,Summer,15 to 30 minutes,2019.0,9.0,1
21336,Summer,30 minutes to 1 hour,2019.0,9.0,1
21336,Summer,30 minutes to 1 hour,2019.0,10.0,1
21336,Summer,5 to 15 minutes,2019.0,10.0,3
21460,Summer,< 5 minutes,2018.0,8.0,3
21460,Summer,15 to 30 minutes,2018.0,8.0,1
21460,Summer,5 to 15 minutes,2018.0,8.0,3
21474,Summer,< 5 minutes,2019.0,8.0,5
21474,Summer,15 to 30 minutes,2019.0,8.0,1
21474,Summer,5 to 15 minutes,2019.0,8.0,3
21491,Summer,< 5 minutes,2018.0,9.0,10
21491,Summer,30 minutes to 1 hour,2018.0,9.0,1
21491,Summer,5 to 15 minutes,2018.0,9.0,9
21513,Summer,5 to 15 minutes,2018.0,6.0,1
21562,Summer,< 5 minutes,2018.0,5.0,3
21562,Summer,15 to 30 minutes,2018.0,5.0,1
21610,Summer,< 5 minutes,2018.0,6.0,12
21610,Summer,< 5 minutes,2018.0,7.0,6
21610,Summer,1 to 2 hours,2018.0,7.0,1
21610,Summer,15 to 30 minutes,2018.0,6.0,6
21610,Summer,15 to 30 minutes,2018.0,7.0,1
21610,Summer,30 minutes to 1 hour,2018.0,6.0,1
21610,Summer,30 minutes to 1 hour,2018.0,7.0,3
21610,Summer,5 to 15 minutes,2018.0,6.0,18
21610,Summer,5 to 15 minutes,2018.0,7.0,8
22467,Summer,< 5 minutes,2018.0,6.0,10
22467,Summer,< 5 minutes,2018.0,7.0,5
22467,Summer,< 5 minutes,2018.0,8.0,3
22467,Summer,< 5 minutes,2018.0,9.0,8
22467,Summer,< 5 minutes,2018.0,10.0,3
22467,Summer,< 5 minutes,2019.0,4.0,1
22467,Summer,5 to 15 minutes,2018.0,6.0,3
22467,Summer,5 to 15 minutes,2018.0,7.0,10
22467,Summer,5 to 15 minutes,2018.0,8.0,8
22467,Summer,5 to 15 minutes,2018.0,9.0,3
22467,Summer,5 to 15 minutes,2018.0,10.0,3
22467,Winter,5 to 15 minutes,2019.0,3.0,2
24892,Summer,< 5 minutes,2018.0,9.0,33
24892,Summer,1 to 2 hours,2018.0,9.0,1
24892,Summer,15 to 30 minutes,2018.0,9.0,4
24892,Summer,2 to 5 hours,2018.0,9.0,1
24892,Summer,30 minutes to 1 hour,2018.0,9.0,2
24892,Summer,5 to 15 minutes,2018.0,9.0,28
24934,Summer,< 5 minutes,2018.0,10.0,33
24934,Summer,15 to 30 minutes,2018.0,10.0,4
24934,Summer,30 minutes to 1 hour,2018.0,10.0,2
24934,Summer,5 to 15 minutes,2018.0,10.0,24
24934,Winter,< 5 minutes,2018.0,11.0,29
24934,Winter,15 to 30 minutes,2018.0,11.0,6
24934,Winter,2 to 5 hours,2018.0,11.0,1
24934,Winter,5 to 15 minutes,2018.0,11.0,16
25066,Summer,< 5 minutes,2018.0,4.0,5
25066,Summer,< 5 minutes,2018.0,5.0,21
25066,Summer,< 5 minutes,2018.0,6.0,16
25066,Summer,1 to 2 hours,2018.0,5.0,1
25066,Summer,15 to 30 minutes,2018.0,4.0,1
25066,Summer,15 to 30 minutes,2018.0,5.0,5
25066,Summer,15 to 30 minutes,2018.0,6.0,2
25066,Summer,30 minutes to 1 hour,2018.0,4.0,1
25066,Summer,30 minutes to 1 hour,2018.0,5.0,3
25066,Summer,5 to 15 minutes,2018.0,4.0,9
25066,Summer,5 to 15 minutes,2018.0,5.0,25
25066,Summer,5 to 15 minutes,2018.0,6.0,15
25066,Summer,overnight!,2018.0,5.0,1
25066,Summer,overnight!,2018.0,6.0,1
25100,Summer,< 5 minutes,2018.0,6.0,23
25100,Summer,< 5 minutes,2018.0,7.0,30
25100,Summer,< 5 minutes,2018.0,8.0,8
25100,Summer,15 to 30 minutes,2018.0,6.0,9
25100,Summer,15 to 30 minutes,2018.0,7.0,5
25100,Summer,15 to 30 minutes,2018.0,8.0,2
25100,Summer,2 to 5 hours,2018.0,6.0,1
25100,Summer,30 minutes to 1 hour,2018.0,6.0,1
25100,Summer,30 minutes to 1 hour,2018.0,8.0,3
25100,Summer,5 to 15 minutes,2018.0,6.0,27
25100,Summer,5 to 15 minutes,2018.0,7.0,32
25100,Summer,5 to 15 minutes,2018.0,8.0,8
25176,Summer,< 5 minutes,2018.0,7.0,7
25176,Summer,< 5 minutes,2018.0,8.0,32
25176,Summer,15 to 30 minutes,2018.0,7.0,5
25176,Summer,15 to 30 minutes,2018.0,8.0,3
25176,Summer,2 to 5 hours,2018.0,8.0,1
25176,Summer,30 minutes to 1 hour,2018.0,7.0,1
25176,Summer,30 minutes to 1 hour,2018.0,8.0,1
25176,Summer,5 to 15 minutes,2018.0,7.0,11
25176,Summer,5 to 15 minutes,2018.0,8.0,21
25292,Summer,< 5 minutes,2019.0,10.0,3
25292,Summer,30 minutes to 1 hour,2019.0,10.0,1
25292,Summer,5 to 15 minutes,2019.0,10.0,3
25330,Summer,< 5 minutes,2018.0,5.0,11
25330,Summer,< 5 minutes,2018.0,6.0,13
25330,Summer,15 to 30 minutes,2018.0,5.0,1
25330,Summer,15 to 30 minutes,2018.0,6.0,3
25330,Summer,2 to 5 hours,2018.0,5.0,1
25330,Summer,30 minutes to 1 hour,2018.0,5.0,2
25330,Summer,30 minutes to 1 hour,2018.0,6.0,2
25330,Summer,5 to 15 minutes,2018.0,5.0,6
25330,Summer,5 to 15 minutes,2018.0,6.0,15
25415,Winter,< 5 minutes,2018.0,3.0,1
25421,Summer,< 5 minutes,2019.0,7.0,11
25421,Summer,1 to 2 hours,2019.0,6.0,1
25421,Summer,15 to 30 minutes,2019.0,6.0,1
25421,Summer,15 to 30 minutes,2019.0,7.0,2
25421,Summer,2 to 5 hours,2019.0,7.0,1
25421,Summer,30 minutes to 1 hour,2019.0,6.0,1
25421,Summer,5 to 15 minutes,2019.0,6.0,6
25421,Summer,5 to 15 minutes,2019.0,7.0,15
25421,Summer,overnight!,2019.0,7.0,1
25502,Summer,< 5 minutes,2019.0,10.0,26
25502,Summer,15 to 30 minutes,2019.0,10.0,7
25502,Summer,30 minutes to 1 hour,2019.0,10.0,1
25502,Summer,5 to 15 minutes,2019.0,10.0,31
25524,Summer,< 5 minutes,2018.0,7.0,28
25524,Summer,< 5 minutes,2018.0,8.0,21
25524,Summer,1 to 2 hours,2018.0,7.0,1
25524,Summer,15 to 30 minutes,2018.0,7.0,5
25524,Summer,15 to 30 minutes,2018.0,8.0,6
25524,Summer,30 minutes to 1 hour,2018.0,7.0,1
25524,Summer,5 to 15 minutes,2018.0,7.0,15
25524,Summer,5 to 15 minutes,2018.0,8.0,24
25659,Summer,< 5 minutes,2018.0,9.0,51
25659,Summer,< 5 minutes,2018.0,10.0,8
25659,Summer,1 to 2 hours,2018.0,9.0,1
25659,Summer,15 to 30 minutes,2018.0,9.0,11
25659,Summer,15 to 30 minutes,2018.0,10.0,2
25659,Summer,30 minutes to 1 hour,2018.0,9.0,1
25659,Summer,5 to 15 minutes,2018.0,9.0,47
25659,Summer,5 to 15 minutes,2018.0,10.0,16
25730,Summer,< 5 minutes,2019.0,7.0,1
25730,Summer,15 to 30 minutes,2019.0,7.0,1
25738,Summer,< 5 minutes,2018.0,7.0,46
25738,Summer,< 5 minutes,2018.0,8.0,37
25738,Summer,< 5 minutes,2018.0,9.0,3
25738,Summer,15 to 30 minutes,2018.0,7.0,8
25738,Summer,15 to 30 minutes,2018.0,8.0,10
25738,Summer,15 to 30 minutes,2018.0,9.0,1
25738,Summer,30 minutes to 1 hour,2018.0,7.0,1
25738,Summer,30 minutes to 1 hour,2018.0,8.0,4
25738,Summer,5 to 15 minutes,2018.0,7.0,47
25738,Summer,5 to 15 minutes,2018.0,8.0,45
25738,Summer,5 to 15 minutes,2018.0,9.0,4
25738,Summer,overnight!,2018.0,8.0,1
26036,Summer,< 5 minutes,2018.0,10.0,15
26036,Summer,15 to 30 minutes,2018.0,10.0,2
26036,Summer,30 minutes to 1 hour,2018.0,10.0,1
26036,Summer,5 to 15 minutes,2018.0,10.0,14
26079,Winter,< 5 minutes,2018.0,1.0,2
26079,Winter,5 to 15 minutes,2018.0,1.0,3
26082,Summer,< 5 minutes,2018.0,7.0,1
26082,Summer,15 to 30 minutes,2018.0,7.0,2
26082,Summer,5 to 15 minutes,2018.0,7.0,3
26151,Summer,< 5 minutes,2018.0,4.0,20
26151,Summer,< 5 minutes,2018.0,5.0,29
26151,Summer,< 5 minutes,2018.0,6.0,40
26151,Summer,< 5 minutes,2018.0,7.0,21
26151,Summer,< 5 minutes,2018.0,8.0,24
26151,Summer,< 5 minutes,2018.0,9.0,46
26151,Summer,< 5 minutes,2018.0,10.0,30
26151,Summer,< 5 minutes,2019.0,4.0,22
26151,Summer,< 5 minutes,2019.0,5.0,36
26151,Summer,< 5 minutes,2019.0,6.0,15
26151,Summer,< 5 minutes,2019.0,7.0,42
26151,Summer,< 5 minutes,2019.0,8.0,27
26151,Summer,< 5 minutes,2019.0,9.0,42
26151,Summer,< 5 minutes,2019.0,10.0,43
26151,Summer,1 to 2 hours,2018.0,6.0,1
26151,Summer,1 to 2 hours,2018.0,8.0,1
26151,Summer,1 to 2 hours,2018.0,9.0,2
26151,Summer,1 to 2 hours,2019.0,6.0,1
26151,Summer,1 to 2 hours,2019.0,9.0,1
26151,Summer,15 to 30 minutes,2018.0,4.0,14
26151,Summer,15 to 30 minutes,2018.0,5.0,8
26151,Summer,15 to 30 minutes,2018.0,6.0,10
26151,Summer,15 to 30 minutes,2018.0,7.0,11
26151,Summer,15 to 30 minutes,2018.0,8.0,9
26151,Summer,15 to 30 minutes,2018.0,9.0,10
26151,Summer,15 to 30 minutes,2018.0,10.0,3
26151,Summer,15 to 30 minutes,2019.0,4.0,5
26151,Summer,15 to 30 minutes,2019.0,5.0,8
26151,Summer,15 to 30 minutes,2019.0,6.0,9
26151,Summer,15 to 30 minutes,2019.0,7.0,11
26151,Summer,15 to 30 minutes,2019.0,8.0,6
26151,Summer,15 to 30 minutes,2019.0,9.0,5
26151,Summer,15 to 30 minutes,2019.0,10.0,9
26151,Summer,2 to 5 hours,2019.0,4.0,2
26151,Summer,30 minutes to 1 hour,2018.0,4.0,1
26151,Summer,30 minutes to 1 hour,2018.0,5.0,1
26151,Summer,30 minutes to 1 hour,2018.0,6.0,2
26151,Summer,30 minutes to 1 hour,2018.0,7.0,2
26151,Summer,30 minutes to 1 hour,2018.0,9.0,3
26151,Summer,30 minutes to 1 hour,2018.0,10.0,2
26151,Summer,30 minutes to 1 hour,2019.0,4.0,1
26151,Summer,30 minutes to 1 hour,2019.0,5.0,2
26151,Summer,30 minutes to 1 hour,2019.0,6.0,3
26151,Summer,30 minutes to 1 hour,2019.0,7.0,2
26151,Summer,30 minutes to 1 hour,2019.0,8.0,1
